Назва,Вид,Місто,Сайт,Пошта (Email)
"Хутор Гоголя","Готель / Гостиниця","Україна","",""
"Санаторій «Хорол»","Готель / Гостиниця","Україна","",""
"Санаторій «Райдужний»","Готель / Гостиниця","Україна","",""
"Вилла Диамант","Готель / Гостиниця","Україна","",""
"Санаторій «Миргород»","Готель / Гостиниця","Україна","",""
"Санаторій «Полтава»","Готель / Гостиниця","Україна","",""
"Садиба у Еріка","Готель / Гостиниця","Україна","",""
"Коктебелика","Готель / Гостиниця","Україна","","koktebelika@yandex.ru"
"Оленка","Готель / Гостиниця","Україна","",""
"Эдельвейс","Готель / Гостиниця","Україна","",""
"Коттеджи посуточно","Готель / Гостиниця","Україна","",""
"Гостинна Садиба","Готель / Гостиниця","Україна","",""
"Шепіт Карпат","Готель / Гостиниця","Україна","",""
"Гранд Готель Пилипець","Готель / Гостиниця","Україна","",""
"Наталія","Готель / Гостиниця","Україна","https://natalia-hotel.com.ua/","hotelbirak@gmail.com"
"Maison Blanche","Готель / Гостиниця","Україна","",""
"CITYHOTEL","Готель / Гостиниця","Україна","http://www.cityhotel.kiev.ua",""
"Золотой Пруд","Готель / Гостиниця","Україна","",""
"Вилла Аркадия","Готель / Гостиниця","Україна","http://villa-arkadiya.com/","danil1242@mail.ru"
"Да Васко","Готель / Гостиниця","Україна","",""
"Камелот","Готель / Гостиниця","Україна","",""
"У Соловья","Готель / Гостиниця","Україна","",""
"Анна Мария","Готель / Гостиниця","Україна","","7112annamaria@gmail.com"
"Добряна","Готель / Гостиниця","Україна","",""
"AllureInn","Готель / Гостиниця","Україна","",""
"Chernivtsi Backpackers","Готель / Гостиниця","Україна","http://www.hostelsinchernivtsi.com/",""
"Динамикс","Готель / Гостиниця","Україна","",""
"Вилла Плаятина","Готель / Гостиниця","Україна","",""
"Chata u Paraski","Готель / Гостиниця","Dzembronia","",""
"Мотель №5","Готель / Гостиниця","Україна","",""
"Кемпінг","Готель / Гостиниця","Україна","",""
"Нивки","Готель / Гостиниця","Україна","",""
"""Альпійський дворик""","Готель / Гостиниця","Україна","",""
"""Гуцульська вишиванка""","Готель / Гостиниця","Україна","",""
"""Гуцульська екзотика""","Готель / Гостиниця","Україна","",""
"""Гуцульський край""","Готель / Гостиниця","Україна","",""
"""Стожари""","Готель / Гостиниця","Україна","",""
"""У Олександра""","Готель / Гостиниця","Україна","",""
"""У Тані""","Готель / Гостиниця","Україна","",""
"""Урочище Діл""","Готель / Гостиниця","Україна","",""
"Вілла ""Марія""","Готель / Гостиниця","Україна","",""
"Вілла ""Парламент""","Готель / Гостиниця","Україна","",""
"Горгани","Готель / Гостиниця","Україна","",""
"Котедж ""Яблунька""","Готель / Гостиниця","Україна","",""
